Time,Accuracy,Speed,BatteryPower,Acceleration
0,0.062,6.755,10142.436,0
0.1,0.062,6.79,10245.911,0.35
0.2,0.06,6.857,10532.578,0.67
0.3,0.058,6.904,11045.833,0.47
0.4,0.055,6.96,12052.923,0.56
0.5,0.054,7.007,12548.815,0.47
0.6,0.052,7.063,12957.587,0.56
0.7,0.051,7.116,13130.947,0.53
0.8,0.049,7.178,13364.165,0.62
0.9,0.048,7.234,13479.954,0.56
1,0.047,7.278,13426.231,0.44
1.1,0.046,7.35,13222.372,0.72
1.2,0.046,7.399,13068.967,0.49
1.3,0.044,7.472,12877.039,0.73
1.4,0.043,7.52,12838.719,0.48
1.5,0.042,7.56,12829.706,0.4
1.6,0.055,7.604,12710.465,0.44
1.7,0.081,7.653,12585.618,0.49
1.8,0.079,7.692,12438.467,0.39
1.9,0.075,7.75,12343.347,0.58
2,0.072,7.814,12803.666,0.64
2.1,0.069,7.886,13663.166,0.72
2.2,0.066,7.956,14857.155,0.7
2.3,0.064,8.003,16211.472,0.47
2.4,0.062,8.082,17915.8,0.79
2.5,0.06,8.153,20149.313,0.71
2.6,0.058,8.252,22293.3,0.99
2.7,0.055,8.379,24552.101,1.27
2.8,0.054,8.479,25843.275,1
2.9,0.052,8.601,29400.979,1.22
3,0.051,8.715,33981.148,1.14
3.1,0.05,8.813,37577.786,0.98
3.2,0.066,8.976,39094.875,1.63
3.3,0.073,9.084,39584.564,1.08
3.4,0.07,9.263,40264.457,1.79
3.5,0.067,9.447,40901.815,1.84
3.6,0.065,9.631,41286.361,1.84
3.7,0.062,9.831,41193.951,2
3.8,0.059,10.026,40796.567,1.95
3.9,0.057,10.171,40567.285,1.45
4,0.055,10.345,40280.732,1.74
4.1,0.054,10.482,38662.815,1.37
4.2,0.052,10.628,36209.289,1.46
4.3,0.051,10.761,32886.68,1.33
4.4,0.049,10.879,31354.496,1.18
4.5,0.047,11.001,30196.862,1.22
4.6,0.046,11.101,29463.26,1
4.7,0.045,11.218,28547.482,1.17
4.8,0.044,11.294,27780.356,0.76
4.9,0.043,11.403,26922.017,1.09
5,0.042,11.474,26188.338,0.71
5.1,0.041,11.567,25605.355,0.93
5.2,0.045,11.627,24920.063,0.6
5.3,0.052,11.693,24360.309,0.66
5.4,0.056,11.76,23568.934,0.67
5.5,0.058,11.825,23003.69,0.65
5.6,0.056,11.916,22546.971,0.91
5.7,0.054,11.974,22399.043,0.58
5.8,0.051,12.067,22326.592,0.93
5.9,0.05,12.13,22240.056,0.63
6,0.049,12.201,21892.277,0.71
6.1,0.047,12.262,21006.032,0.61
6.2,0.046,12.338,19886.32,0.76
6.3,0.045,12.393,18840.467,0.55
6.4,0.043,12.449,17505.253,0.56
6.5,0.042,12.493,16356.422,0.44
6.6,0.041,12.539,15361.025,0.46
6.7,0.041,12.582,14595.809,0.43
6.8,0.042,12.602,14231.222,0.2
6.9,0.056,12.642,13950.148,0.4
7,0.064,12.667,13873.468,0.25
7.1,0.062,12.7,13525.314,0.33
7.2,0.06,12.734,12556.22,0.34
7.3,0.057,12.767,12530.893,0.33
7.4,0.055,12.793,12898.475,0.26
7.5,0.053,12.827,12985.499,0.34
7.6,0.051,12.856,13525.883,0.29
7.7,0.049,12.887,14656.352,0.31
7.8,0.048,12.926,15914.401,0.39
7.9,0.047,12.964,16684.448,0.38
8,0.046,13,16929.887,0.36
8.1,0.044,13.051,17326.473,0.51
8.2,0.044,13.085,17931.744,0.34
8.3,0.043,13.136,18560.373,0.51
8.4,0.043,13.178,18752.292,0.42
8.5,0.043,13.22,18883.461,0.42
8.6,0.041,13.272,19218.117,0.52
8.7,0.04,13.316,19421.445,0.44
8.8,0.039,13.376,19546.091,0.6
8.9,0.039,13.417,19736.007,0.41
9,0.044,13.471,20374.207,0.54
9.1,0.047,13.505,20654.377,0.34
9.2,0.046,13.558,20998.26,0.53
9.3,0.045,13.595,21161.865,0.37
9.4,0.043,13.673,21244.463,0.78
9.5,0.041,13.734,21706.483,0.61
9.6,0.04,13.795,22761.245,0.61
9.7,0.039,13.862,23757.989,0.67
9.8,0.038,13.916,23872.192,0.54
9.9,0.038,13.976,23773.233,0.6
10,0.04,14.035,23947.537,0.59
10.1,0.044,14.099,23978.139,0.64
10.2,0.043,14.164,23988.493,0.65
10.3,0.042,14.218,24283.18,0.54
10.4,0.041,14.284,25119.475,0.66
10.5,0.04,14.336,25783.724,0.52
10.6,0.039,14.403,26655.663,0.67
10.7,0.041,14.445,26990.309,0.42
10.8,0.053,14.518,27090.623,0.73
10.9,0.053,14.566,27113.223,0.48
11,0.052,14.633,27169.219,0.67
11.1,0.049,14.722,26928.412,0.89
11.2,0.048,14.788,26754.393,0.66
11.3,0.046,14.872,27113.908,0.84
11.4,0.045,14.932,27324.228,0.6
11.5,0.043,15.005,27037.538,0.73
11.6,0.042,15.063,26911.321,0.58
11.7,0.042,15.14,27250.632,0.77
11.8,0.043,15.195,27442.389,0.55
11.9,0.043,15.27,27536.91,0.75
12,0.042,15.323,27248.221,0.53
12.1,0.041,15.385,26856.942,0.62
12.2,0.04,15.461,26731.761,0.76
12.3,0.04,15.521,26671.212,0.6
12.4,0.041,15.598,26297.786,0.77
12.5,0.044,15.637,25997.297,0.39
12.6,0.051,15.695,25699.023,0.58
12.7,0.05,15.744,25174.568,0.49
12.8,0.05,15.795,24419.302,0.51
12.9,0.051,15.837,23605.932,0.42
13,0.049,15.901,22360.485,0.64
13.1,0.047,15.952,21163.919,0.51
13.2,0.045,16.02,19465.461,0.68
13.3,0.044,16.062,18370.886,0.42
13.4,0.043,16.091,17626.245,0.29
13.5,0.042,16.113,17007.143,0.22
13.6,0.044,16.13,16388.835,0.17
13.7,0.047,16.149,15703.656,0.19
13.8,0.047,16.166,14953.846,0.17
13.9,0.046,16.198,13713.49,0.32
14,0.045,16.222,12499.724,0.24
14.1,0.043,16.247,10875.618,0.25
14.2,0.043,16.267,9631.765,0.2
14.3,0.045,16.282,8626.437,0.15
14.4,0.052,16.289,7469.394,0.07
14.5,0.054,16.289,6749.947,0
14.6,0.052,16.287,5686.795,-0.02
14.7,0.05,16.287,4333.293,0
14.8,0.048,16.297,3674.781,0.1
14.9,0.046,16.295,3744.5,-0.02
15,0.045,16.269,4335.827,-0.26
15.1,0.047,16.241,5305.172,-0.28
15.2,0.056,16.227,5921.566,-0.14
15.3,0.058,16.234,6151.498,0.07
15.4,0.056,16.262,6175.953,0.28
15.5,0.055,16.267,6195.26,0.05
15.6,0.053,16.253,6734.088,-0.14
15.7,0.051,16.244,7036.953,-0.09
15.8,0.049,16.255,7058.251,0.11
15.9,0.048,16.265,7044.901,0.1
16,0.047,16.267,7039.685,0.02
16.1,0.045,16.267,6898.903,0
16.2,0.044,16.273,6782.311,0.06
16.3,0.047,16.28,6776.239,0.07
16.4,0.058,16.275,6939.098,-0.05
16.5,0.066,16.27,6997.087,-0.05
16.6,0.064,16.282,6959.47,0.12
16.7,0.062,16.289,6983.117,0.07
16.8,0.059,16.282,7208.322,-0.07
16.9,0.056,16.283,7320.851,0.01
17,0.054,16.299,7291.714,0.16
17.1,0.052,16.311,7236.073,0.12
17.2,0.051,16.311,7322.651,0
17.3,0.049,16.311,7473.417,0
17.4,0.048,16.311,7649.793,0
17.5,0.047,16.32,7690.24,0.09
17.6,0.045,16.326,7766.062,0.06
17.7,0.044,16.32,7987.907,-0.06
17.8,0.043,16.326,8174.682,0.06
17.9,0.042,16.333,8330.104,0.07
18,0.041,16.333,8447.999,0
18.1,0.04,16.333,8541.721,0
18.2,0.048,16.341,8435.414,0.08
18.3,0.056,16.353,8189.48,0.12
18.4,0.057,16.369,7864.477,0.16
18.5,0.057,16.378,7721.636,0.09
18.6,0.055,16.378,7673.996,0
18.7,0.053,16.378,7736.62,0
18.8,0.051,16.378,7969.729,0
18.9,0.05,16.378,8081.727,0
19,0.063,16.392,8018.355,0.14
19.1,0.067,16.398,7972.157,0.06
19.2,0.064,16.4,8085.936,0.02
19.3,0.062,16.4,8333.778,0
19.4,0.06,16.404,8447.825,0.04
19.5,0.058,16.411,8465.836,0.07
19.6,0.056,16.417,8424.78,0.06
19.7,0.054,16.434,8237.076,0.17
19.8,0.053,16.442,8057.426,0.08
19.9,0.051,16.444,7996.552,0.02
20,0.05,16.444,8035.965,0
20.1,0.052,16.444,7992.723,0
20.2,0.056,16.452,7889.159,0.08
20.3,0.059,16.473,7613.959,0.21
20.4,0.058,16.479,7514.676,0.06
20.5,0.056,16.472,7728.971,-0.07
20.6,0.053,16.478,8113.585,0.06
20.7,0.052,16.487,8097.262,0.09
20.8,0.05,16.489,8140.482,0.02
20.9,0.049,16.489,8268.495,0
21,0.048,16.496,8238.251,0.07
21.1,0.046,16.509,8018.639,0.13
21.2,0.045,16.511,7889.9,0.02
21.3,0.044,16.511,7732.621,0
21.4,0.043,16.511,7530.133,0
21.5,0.042,16.518,7235.839,0.07
21.6,0.043,16.518,6957.121,0
21.7,0.044,16.518,6694.982,0
21.8,0.051,16.527,6469.425,0.09
21.9,0.082,16.533,6140.15,0.06
22,0.08,16.533,5807.482,0
22.1,0.077,16.545,5394.146,0.12
22.2,0.073,16.544,5150.819,-0.01
22.3,0.07,16.527,5395.043,-0.17
22.4,0.067,16.511,5771.871,-0.16
22.5,0.065,16.511,5782.235,0
22.6,0.063,16.522,5726.972,0.11
22.7,0.061,16.52,5799.07,-0.02
22.8,0.059,16.511,5917.699,-0.09
22.9,0.057,16.511,5988.357,0
23,0.055,16.511,5915.144,0
23.1,0.053,16.517,5720.504,0.06
23.2,0.052,16.527,5505.823,0.1
23.3,0.05,16.533,5356.404,0.06
23.4,0.049,16.529,5365.067,-0.04
23.5,0.047,16.519,5522.244,-0.1
23.6,0.046,16.511,5799.563,-0.08
23.7,0.046,16.511,5919.25,0
23.8,0.047,16.511,5854.954,0
23.9,0.046,16.511,5760.308,0
24,0.053,16.511,5849.363,0
24.1,0.058,16.505,6002.978,-0.06
24.2,0.055,16.503,6010.4,-0.02
24.3,0.053,16.511,5758.257,0.08
24.4,0.051,16.525,5408.555,0.14
24.5,0.049,16.519,5405.011,-0.06
24.6,0.048,16.511,5585.146,-0.08
24.7,0.046,16.507,5802.043,-0.04
24.8,0.045,16.507,5802.893,0
24.9,0.044,16.514,5633.418,0.07
25,0.043,16.515,5521.288,0.01
25.1,0.042,16.506,5702.262,-0.09
25.2,0.041,16.491,6155.577,-0.15
25.3,0.041,16.491,6236.192,0
25.4,0.042,16.507,6000.828,0.16
25.5,0.041,16.511,5842.915,0.04
25.6,0.046,16.511,5683.675,0
25.7,0.055,16.511,5614.4,0
25.8,0.065,16.511,5537.857,0
25.9,0.064,16.509,5553.968,-0.02
26,0.061,16.5,5613.227,-0.09
26.1,0.058,16.503,5607.42,0.03
26.2,0.056,16.511,5624.621,0.08
26.3,0.054,16.5,5942.008,-0.11
26.4,0.052,16.489,6493.955,-0.11
26.5,0.051,16.487,6809.051,-0.02
26.6,0.049,16.486,6930.144,-0.01
26.7,0.052,16.493,6793.899,0.07
26.8,0.053,16.503,6646.627,0.1
26.9,0.051,16.507,6558.595,0.04
27,0.05,16.495,6604.185,-0.12
27.1,0.048,16.489,6592.732,-0.06
27.2,0.047,16.496,6461.59,0.07
27.3,0.046,16.509,6216.99,0.13
27.4,0.046,16.521,6048.953,0.12
27.5,0.046,16.506,6256.842,-0.15
27.6,0.053,16.493,6642.76,-0.13
27.7,0.093,16.489,7037.201,-0.04
27.8,0.091,16.489,7050.103,0
27.9,0.087,16.491,6895.851,0.02
28,0.084,16.501,6684.289,0.1
28.1,0.079,16.511,6410.854,0.1
28.2,0.077,16.511,6251.457,0
28.3,0.073,16.511,6059.43,0
28.4,0.07,16.511,5922.451,0
28.5,0.068,16.511,5305.575,0
28.6,0.066,16.511,3893.258,0
28.7,0.063,16.501,1777.623,-0.1
28.8,0.061,16.489,378.874,-0.12
28.9,0.059,16.46,-3403.782,-0.29
29,0.057,16.433,-6303.937,-0.27
29.1,0.055,16.397,-8800.541,-0.36
29.2,0.057,16.372,-10941.344,-0.25
29.3,0.062,16.337,-12741.972,-0.35
29.4,0.063,16.289,-14451.023,-0.48
29.5,0.061,16.223,-16355.608,-0.66
29.6,0.059,16.149,-18651.423,-0.74
29.7,0.056,16.037,-21159.907,-1.12
29.8,0.054,15.919,-23764.377,-1.18
29.9,0.052,15.799,-25865.804,-1.2
30,0.05,15.688,-27850.514,-1.11
30.1,0.049,15.566,-29840.536,-1.22
30.2,0.048,15.469,-31440.627,-0.97
30.3,0.048,15.314,-33519.641,-1.55
30.4,0.047,15.212,-35077.622,-1.02
30.5,0.045,15.066,-36921.103,-1.46
30.6,0.044,14.943,-38284.088,-1.23
30.7,0.043,14.778,-40035.377,-1.65
30.8,0.042,14.632,-41316.411,-1.46
30.9,0.041,14.453,-42787.81,-1.79
31,0.04,14.291,-44231.505,-1.62
31.1,0.039,14.141,-45349.984,-1.5
31.2,0.04,13.969,-46396.598,-1.72
31.3,0.05,13.826,-47279.38,-1.43
31.4,0.06,13.651,-47955.068,-1.75
31.5,0.058,13.449,-48124.341,-2.02
31.6,0.056,13.247,-46705.716,-2.02
31.7,0.054,13.033,-43689.028,-2.14
31.8,0.052,12.822,-38253.725,-2.11
31.9,0.05,12.65,-34485.213,-1.72
32,0.049,12.503,-31440.455,-1.47
32.1,0.047,12.36,-28017.828,-1.43
32.2,0.046,12.232,-24853.401,-1.28
32.3,0.045,12.132,-23218.055,-1
32.4,0.043,11.988,-21131.297,-1.44
32.5,0.042,11.888,-19978.682,-1
32.6,0.041,11.761,-18637.948,-1.27
32.7,0.04,11.677,-17693.714,-0.84
32.8,0.039,11.582,-15736.259,-0.95
32.9,0.04,11.505,-14675.909,-0.77
33,0.046,11.427,-14183.293,-0.78
33.1,0.058,11.346,-13756.496,-0.81
33.2,0.065,11.282,-13090.829,-0.64
33.3,0.064,11.212,-12503.076,-0.7
33.4,0.062,11.155,-12296.356,-0.57
33.5,0.06,11.066,-12086.966,-0.89
33.6,0.057,10.99,-11976.491,-0.76
33.7,0.055,10.893,-11897.607,-0.97
33.8,0.053,10.824,-11821.876,-0.69
33.9,0.053,10.745,-11732.265,-0.79
34,0.054,10.689,-11648.348,-0.56
34.1,0.054,10.612,-11400.181,-0.77
34.2,0.052,10.545,-10371.87,-0.67
34.3,0.053,10.479,-7830.284,-0.66
34.4,0.055,10.431,-5917.029,-0.48
34.5,0.054,10.377,-4635.206,-0.54
34.6,0.052,10.341,-4139.39,-0.36
34.7,0.051,10.303,-3988.943,-0.38
34.8,0.049,10.266,-3952.681,-0.37
34.9,0.05,10.228,-3956.992,-0.38
35,0.055,10.195,-3991.212,-0.33
35.1,0.061,10.162,-4035,-0.33
35.2,0.059,10.13,-4087.465,-0.32
35.3,0.058,10.101,-4135.956,-0.29
35.4,0.055,10.057,-4200.343,-0.44
35.5,0.053,10.031,-4237.435,-0.26
35.6,0.051,9.985,-4265.482,-0.46
35.7,0.049,9.955,-4262.151,-0.3
35.8,0.048,9.922,-4255.078,-0.33
35.9,0.046,9.877,-4246.212,-0.45
36,0.045,9.844,-4227.115,-0.33
36.1,0.044,9.8,-4187.769,-0.44
36.2,0.043,9.763,-4152.131,-0.37
36.3,0.042,9.729,-4129.668,-0.34
36.4,0.04,9.682,-4130.937,-0.47
36.5,0.039,9.651,-4125.801,-0.31
36.6,0.04,9.601,-4111.355,-0.5
36.7,0.041,9.568,-4093.058,-0.33
36.8,0.044,9.536,-4068.109,-0.32
36.9,0.044,9.497,-4063.088,-0.39
37,0.044,9.475,-4065.864,-0.22
37.1,0.042,9.439,-4103.667,-0.36
37.2,0.041,9.407,-4116.478,-0.32
37.3,0.04,9.351,-4086.459,-0.56
37.4,0.038,9.312,-4048.141,-0.39
37.5,0.037,9.257,-4018.441,-0.55
37.6,0.036,9.224,-3982.261,-0.33
37.7,0.036,9.188,-3946.84,-0.36
37.8,0.037,9.149,-3934.983,-0.39
37.9,0.038,9.109,-3910.94,-0.4
38,0.038,9.069,-3882.96,-0.4
38.1,0.039,9.03,-3850.503,-0.39
38.2,0.041,8.993,-3823.407,-0.37
38.3,0.043,8.962,-3810.103,-0.31
38.4,0.043,8.92,-3782.346,-0.42
38.5,0.042,8.889,-3769.947,-0.31
38.6,0.041,8.847,-3746.031,-0.42
38.7,0.04,8.819,-3718.291,-0.28
38.8,0.04,8.79,-3702.558,-0.29
38.9,0.045,8.769,-3697.228,-0.21
39,0.05,8.717,-3709.539,-0.52
39.1,0.048,8.663,-3687.748,-0.54
39.2,0.047,8.618,-3674.226,-0.45
39.3,0.045,8.573,-3699.945,-0.45
39.4,0.046,8.541,-3712.742,-0.32
39.5,0.048,8.5,-3742.194,-0.41
39.6,0.047,8.462,-3764.8,-0.38
