Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
0.0,0.062,6.755,10142.436,0.0,10025.9829370629,6.75168531468532,0.483216783216784
0.1,0.062,6.79,10245.911,0.35,10296.7158321678,6.80000699300699,0.493881118881121
0.2,0.06,6.857,10532.578,0.67,10716.5431608392,6.85046153846154,0.513146853146846
0.3,0.058,6.904,11045.833,0.47,11234.4063682984,6.90263636363636,0.528286713286712
0.4,0.055,6.96,12052.923,0.56,11799.2468997669,6.95611888111888,0.539300699300709
0.5,0.054,7.007,12548.815,0.47,12360.0062004662,7.0104965034965,0.542342657342654
0.6,0.052,7.063,12957.587,0.56,12853.1702657343,7.06458741258741,0.538881118881109
0.7,0.051,7.116,13130.947,0.53,13206.3112191142,7.11827272727273,0.541561771561771
0.8,0.049,7.178,13364.165,0.62,13389.3138857809,7.17289976689977,0.558321678321682
0.9,0.048,7.234,13479.954,0.56,13394.8487902098,7.22993706293706,0.584428904428904
1.0,0.047,7.278,13426.231,0.44,13344.3063706294,7.28978554778555,0.592925407925406
1.1,0.046,7.35,13222.372,0.72,13248.3523496504,7.34852214452214,0.578006993006999
1.2,0.046,7.399,13068.967,0.49,13133.4976853147,7.40538694638695,0.558846153846155
1.3,0.044,7.472,12877.039,0.73,12996.7494102564,7.46029137529138,0.532657342657341
1.4,0.043,7.52,12838.719,0.48,12865.9402913753,7.51191841491842,0.501258741258739
1.5,0.042,7.56,12829.706,0.4,12711.051044289,7.56054312354312,0.464475524475513
1.6,0.055,7.604,12710.465,0.44,12552.2511608392,7.60481351981352,0.45496503496504
1.7,0.081,7.653,12585.618,0.49,12427.4063869464,7.65153613053613,0.485139860139863
1.8,0.079,7.692,12438.467,0.39,12422.5979020979,7.70184149184149,0.524137529137541
1.9,0.075,7.75,12343.347,0.58,12580.9938205128,7.75636363636364,0.569487179487189
2.0,0.072,7.814,12803.666,0.64,12967.2143240093,7.81573892773893,0.600291375291366
2.1,0.069,7.886,13663.166,0.72,13706.0136037296,7.87642191142191,0.61431235431236
2.2,0.066,7.956,14857.155,0.7,14817.4932400932,7.9386013986014,0.665198135198129
2.3,0.064,8.003,16211.472,0.47,16379.9373030303,8.00946153846154,0.731410256410251
2.4,0.062,8.082,17915.8,0.79,18038.9091282051,8.08488344988345,0.797797202797205
2.5,0.06,8.153,20149.313,0.71,19761.4981701632,8.16902097902098,0.895815850815848
2.6,0.058,8.252,22293.3,0.99,21818.6875291375,8.26404662004662,0.973321678321674
2.7,0.055,8.379,24552.101,1.27,24412.2969487179,8.36368531468531,1.06400932400933
2.8,0.054,8.479,25843.275,1.0,27411.3711934732,8.47684848484849,1.12770396270396
